travel_mode,travel_time_number,age,individual_travel_frequency,household_vehicles,household_size
0,335,19,8,1,2
1,511,67,96,4,6
0,900,29,36,2,3
1,120,47,28,2,3
1,660,40,10,1,4
1,571,42,28,1,10
1,866,18,60,3,5
1,78.65298,49,48,2,2
0,600,23,14,0,2
1,565,31,21,1,2
1,180,48,19,1,2
1,659,78,19,1,2
1,1079.426,34,16,1,2
0,540,37,24,2,3
1,779,48,24,2,3
1,1469.906,57,26,2,5
1,660,20,30,2,4
1,299.926,53,60,3,3
1,385,56,22,2,3
1,99,36,40,2,5
1,250,26,22,1,5
1,1023.728,37,16,1,10
1,960,73,26,2,2
1,3618,64,13,1,2
1,1555,61,7,1,1
1,518,70,18,2,3
0,950,64,11,0,1
1,323.547,28,36,2,3
0,520,64,17,1,2
1,1902,37,16,2,5
0,116,28,12,0,4
1,2797,36,38,2,4
1,2361.149,40,27,3,4
1,1391,61,21,3,6
1,200,27,16,1,5
1,279,77,3,1,2
1,340,50,42,2,4
1,2309,32,42,2,6
1,783,56,35,5,7
1,1331,47,20,2,3
1,900,46,60,3,4
1,2671,42,9,1,2
0,843,35,9,0,1
0,1000,17,6,1,5
1,1380,22,29,1,1
1,200,42,33,1,7
1,1110,24,15,1,1
1,540,41,28,2,5
0,1100,35,3,0,10
0,400,55,13,0,2
1,2097,32,42,2,2
1,250,30,12,1,4
1,265,47,44,2,3
1,345,31,10,2,4
1,173,38,22,2,5
1,240,55,28,2,2
1,240,28,23,1,5
0,204,19,10,0,1
1,749,30,11,1,2
0,338,31,28,2,3
1,5510.549,62,30,2,2
1,3834,62,92,2,2
1,1014.982,63,51,3,3
1,960,36,28,2,5
0,200,25,9,1,3
1,738.501,43,28,2,5
1,2580,59,14,1,2
1,709,67,26,2,4
1,220,31,19,1,6
1,1428,40,9,1,2
1,509.078,42,40,2,4
1,256,48,38,2,5
1,1311,57,16,1,3
1,480,30,20,2,3
1,119,40,60,2,6
1,608.294,35,13,1,4
1,846,49,51,3,4
1,106.899,23,16,1,4
1,359,57,10,2,3
1,93,43,24,2,5
1,692.132,49,52,2,2
1,4678.145,40,22,1,7
1,242,45,34,2,4
1,4684.274,51,32,2,4
0,703,27,6,1,3
1,2629,52,18,3,6
1,1620,64,39,3,5
1,301.164,47,50,2,4
0,360,40,22,0,1
1,360,38,40,2,4
0,462,22,8,0,5
1,1906,31,48,2,3
1,720,47,18,2,4
0,1440,53,30,2,3
0,120,35,52,2,4
0,638,51,14,2,5
1,1549,32,26,2,4
0,247,50,16,2,4
0,180,30,26,1,6
1,1244.175,32,28,2,4
0,540,45,22,2,5
1,1203,69,9,1,1
1,163,34,62,2,3
0,211,33,22,2,4
0,297,63,20,2,2
0,540,39,9,1,4
